,"Total energy, Btu","Fossil fuels, Btu","Coal, Btu","Natural gas, Btu","Petroleum, Btu",Water consumption: gallons,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,Biogenic CO2,Primary Unit
glucose,32.66294732,7.741150154,0.314607116,6.281323661,1.145219378,0.009829417,0.000261729,0.000695085,0.001391829,8.38E-05,6.92E-05,0.00037746,1.27E-05,1.51E-05,0.001370399,0.00080594,0.514762983,0,g
hexane,50.84245701,50.55494218,0.389840204,4.959280539,45.20582144,0.001086399,0.000343083,0.000564569,0.000823714,7.99E-05,6.82E-05,0.00029113,7.72E-06,1.37E-05,0.004691447,1.04E-05,0.655891832,0,g
fgd lime,4.713895067,4.616014756,3.872390823,0.497851156,0.245772777,0.00123151,9.93E-05,0.000466368,0.000262707,0.000138456,0.000104952,0.000137971,8.60E-06,1.64E-05,0.000679539,1.18E-06,1.260846685,0,g
co2 requirement (fossil co2),0.060187749,0.031953712,0.0122227,0.019194815,0.000536197,3.64E-06,3.14E-07,2.19E-06,2.71E-06,3.68E-07,2.55E-07,1.53E-06,1.16E-08,1.13E-07,5.33E-06,5.09E-08,0.004121832,0,g
wwt polymer,19.71853497,17.33057091,3.34413777,13.80864836,0.177784776,0.001019793,0.000177517,0.000689568,0.001054895,0.000102776,7.16E-05,0.000504831,7.65E-06,2.45E-05,0.003143148,3.00E-05,1.168144209,0,g
resin,117.6358398,114.0957322,4.947450532,73.0010336,36.14724809,0.00225747,0.000987638,0.005476036,0.008122955,0.000886965,0.000537875,0.00328683,4.61E-05,9.56E-05,0.020200626,0.000883199,5.661262845,0,g
flocculant,19.71853497,17.33057091,3.34413777,13.80864836,0.177784776,0.001019793,0.000177517,0.000689568,0.001054895,0.000102776,7.16E-05,0.000504831,7.65E-06,2.45E-05,0.003143148,3.00E-05,1.168144209,0,g
toluene,57.55710577,57.40861065,0.20120485,33.36866576,23.83874005,0.001670967,0.001056228,0.000941999,0.001304528,9.06E-05,8.10E-05,0.000473442,1.01E-05,2.57E-05,0.006870531,1.68E-05,0.892101315,0,g
sodium carbonate,5.598297303,5.590570845,4.672847195,0.085651948,0.832071702,3.39E-05,8.87E-05,0.000548172,0.000317892,0.000168006,0.000106699,0.000180657,4.75E-06,8.52E-06,0.000766274,1.09E-06,0.681030202,0,g
nitrogen,59.91974409,58.98360293,1.309490252,52.32777969,5.346332994,0.005097828,0.006204069,0.007082373,0.006636164,0.001307727,0.00106933,0.005584329,5.51E-05,0.000137181,0.010504116,0.002006482,3.02582753,0,g
p2o5,29.22647586,27.68007234,2.163786734,18.98312176,6.53316385,0.012931339,0.001536958,0.00237674,0.00634208,0.001398563,0.00110231,0.014622444,6.28E-05,0.000138447,0.004479127,4.32E-05,1.865688838,0,g
k2o,7.715604836,6.914439676,1.121268021,3.281095552,2.512076103,0.001045798,9.02E-05,0.00045375,0.001114203,9.85E-05,7.91E-05,0.000536007,1.31E-05,2.76E-05,0.000990554,9.35E-06,0.507734985,0,g
herbicide,248.0944278,233.2937326,20.6897708,90.91712244,121.6868394,0.008897898,0.002107475,0.012045402,0.021650599,0.002630203,0.001759519,0.018730013,0.000301491,0.000350596,0.030459788,0.000334543,17.51451731,0,g
insecticide,292.9124765,274.7984914,25.32782585,109.568577,139.9020885,0.010722375,0.00238369,0.019465529,0.024347519,0.002446174,0.001962356,0.004678391,0.000521557,0.000514209,0.036149888,0.000337091,20.1242329,0,g
sorbitol,1158.996812,1109.915429,1019.954539,15.92748782,74.03340222,227992.3905,9619.057632,42837.19692,90295.49141,16604.83345,7275.970441,114435.8959,343.868846,599.0024491,172783.5527,2321.368663,108758629,0,g
sodium sulfate salt,2.565440188,2.413101976,0.499993489,1.457216305,0.455892182,0.000548849,2.33E-05,0.000124664,0.000192487,1.69E-05,1.20E-05,0.000103728,2.33E-06,3.47E-06,0.000392895,3.46E-06,0.172558348,0,g
maleic anhydride,53.44575921,38.59544375,5.658213677,14.28083024,18.65639983,0.002017634,0.000594267,0.000378708,0.004771082,0.00046056,0.0003505,0.002945464,4.27E-05,0.000104932,0.002298897,0.00021843,5.929913704,0,g
adipic acid,99.15771302,99.10102802,0.076154276,87.62466317,11.40021058,0.002894858,0.003271076,0.004478846,0.035928608,0.000328489,0.000306717,0.001822266,4.60E-05,0.000112052,0.015793202,0.017427439,4.287972546,0,g
ethyl acetate ,102.7137775,46.56066308,8.750063317,35.1634709,2.647128859,0.017965235,0.002539817,0.002498962,0.004875879,0.00080406,0.000344917,0.001926415,3.61E-05,7.40E-05,0.008225992,0.001542873,3.458925309,0,g
lipase enzyme,50.3525327,47.81969505,3.543949177,33.24407911,11.03166677,0.001395176,0.000564989,0.001229862,0.002976076,0.000209127,0.000173229,0.000914015,2.38E-05,6.39E-05,0.007031063,0.000126291,2.844339781,0,g
sulfur dioxide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
host nutrients,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
boiler chemicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
cooling tower chemicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
makeup water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,gal
hydrogen,0.000149585,0.000149179,5.69E-07,0.000148051,5.59E-07,0.002959376,0.001168566,0.001826688,0.00238909,0.000322992,0.000308364,0.001547827,3.81E-05,8.46E-05,0.021499227,6.69E-05,8.905549528,0,g
betaketoadipate,99.15771302,99.10102802,0.076154276,87.62466317,11.40021058,0.002894858,0.003271076,0.004478846,0.035928608,0.000328489,0.000306717,0.001822266,4.60E-05,0.000112052,0.015793202,0.017427439,4.287972546,0,g
ethanol,22.76830842,14.31372066,1.013696542,11.76222561,1.537798513,0.010524015,0.001533293,0.001067004,0.002264634,0.000417155,0.000155752,0.000640891,1.81E-05,2.63E-05,0.002580323,0.001001815,1.111703232,0,g
